feature,importance
3rd-A2__radius__q3__count,0.00024691687886842256
Pcom__radius__q3__count,0.00024595742925501217
A2__radius__sd__mean,0.00024420024420024355
A2__curvature__q1__min,0.00024027691618417474
C6__curvature__median__mean,0.00023856241276454064
MCA__curvature__q3__max,0.00023706896551724135
C6__tortuosity__mean,0.00023648648648648703
A2__curvature__mean__min,0.00023448773448773405
C7__curvature__max__min,0.00023313492063492248
A2__radius__mean__min,0.0002326443397871982
ACA__curvature__sd__mean,0.00023148148148148184
Acom__curvature__q1__mean,0.0002314635093167695
P2__tortuosity__min,0.00022969218281718298
C7__length__max,0.0002272727272727278
ICA__radius__min__min,0.00022727272727272735
ACA__radius__max__min,0.00022641509433962345
A2__tortuosity__min,0.00022569444444444452
C7__length__mean,0.00022549019607843405
Acom_bifurcation__bifurcation__points_angle__std,0.00022428046023551727
Acom__radius__sd__min,0.0002232142857142858
ICA_bifurcation__ratios__radius sum__min,0.00022225577026301803
ACA__length__mean,0.00021993835412953175
A2__curvature__median__min,0.00021993835412953153
BA_bifurcation__bifurcation__radius_child1__count,0.0002189625850340129
ACA__tortuosity__max,0.00021799445105033692
P2__radius__max__mean,0.00021790377176015503
ICA__radius__min__max,0.00021759259259259241
A2__curvature__median__max,0.00021549066243833616
A2__volume__mean,0.0002141075388026615
C6__radius__min__max,0.00021336553945249618
BA_bifurcation__bifurcation__dist_angle__mean,0.00021336553945249561
PCA__volume__max,0.00021285894956107686
MCA__curvature__median__min,0.00021212504213009815
MCA__radius__median__min,0.00020915060549207037
P2__radius__mean__min,0.000207231040564374
PCA__tortuosity__mean,0.00020595114345114255
P1__curvature__mean__min,0.0002027591973244149
A2__tortuosity__max,0.0002020202020202019
MCA__radius__max__min,0.00019521931795085727
C7__radius__min__mean,0.00019345238095238088
Pcom__radius__sd__mean,0.00019214622010674647
ICA__radius__q1__mean,0.0001908349802371543
Acom__curvature__max__max,0.00018904706404706374
A2__curvature__max__max,0.00018745880026367886
P1__curvature__min__max,0.000186044266733748
